hsn_code,description,gst_rate
27110000,Petroleum gases,0
27111200,LPG for commercial use,0
27120000,Petroleum jelly; paraffin wax,
27130000,Petroleum coke,
27140000,Bitumen and asphalt,
27150000,Bituminous mixtures,
27160000,Electrical energy,
28010000,"Fluorine, chlorine, bromine, iodine",
28020000,"Sulphur, sublimed/precipitated",
28030000,Carbon (carbon blacks etc.),
28040000,"Hydrogen, rare gases, other non-metals",
28050000,Alkali/alkaline-earth metals,
28060000,Hydrogen chloride; chlorosulphuric acid,
28070000,Sulphuric acid; oleum,
28080000,Nitric acid; sulphonitric acids,
28090000,Diphosphorus pentaoxide; phosphoric acid,
28100000,Oxides of boron; boric acids,
28110000,Other inorganic acids,
28120000,Halides and halide oxides of non-metals,
28130000,Sulphides of non-metals,
28140000,"Ammonia, anhydrous/in aqueous solution",
28150000,Sodium hydroxide (caustic soda),
28160000,Hydroxide/peroxide of magnesium,
28170000,Zinc oxide; zinc peroxide,
28180000,Artificial corundum; aluminium oxide,
28190000,Chromium oxides and hydroxides,
28200000,Manganese oxides,
28210000,Iron oxides and hydroxides,
28220000,Cobalt oxides and hydroxides,
28230000,Titanium oxides,
28240000,Lead oxides; red lead and orange lead,
28250000,Hydrazine; hydroxylamine; inorganic bases,
28260000,Fluorides; fluorosilicates,
28270000,Chlorides; chloride oxides,
28280000,Hypochlorites; chlorates,
28290000,Chlorates and perchlorates,
28300000,Sulphides; polysulphides,
28310000,Dithionites and sulphoxylates,
28320000,Sulphites; thiosulphates,
28330000,Sulphates; alums; peroxosulphates,
28340000,Nitrites; nitrates,
28350000,Phosphinates; phosphonates; phosphates,
28360000,Carbonates; peroxocarbonates; ammonium carbamate,
28370000,Cyanides; cyanide oxides; complex cyanides,
28390000,Silicates; commercial alkali metal silicates,
28400000,Borates; peroxoborates,
28410000,Salts of oxometallic/peroxometallic acids,
28420000,Other salts of inorganic acids,
28430000,Colloidal precious metals,
28440000,Radioactive chemical elements,
28450000,Isotopes and compounds,
28460000,Inorganic/organic compounds of rare-earth metals,
28470000,Hydrogen peroxide,
28490000,Carbides,
28500000,"Hydrides, nitrides, azides etc.",
28510000,Other inorganic compounds,
29010000,Acyclic hydrocarbons,
29020000,Cyclic hydrocarbons,
29030000,Halogenated derivatives of hydrocarbons,
29040000,Sulphonated/nitrated/nitrosated hydrocarbons,
29050000,"Acyclic alcohols (methanol, ethanol etc.)",
29060000,Cyclic alcohols,
29070000,Phenols; phenol-alcohols,
29080000,Halogenated derivatives of phenols,
29090000,"Ethers, ether-alcohols, ether-phenols",
29100000,"Epoxides, epoxyalcohols, epoxyphenols",
29110000,Acetals and hemiacetals,
29120000,Aldehydes,
29130000,Halogenated derivatives of aldehydes,
29140000,Ketones and quinones,
29150000,Saturated acyclic monocarboxylic acids,
29160000,Unsaturated acyclic monocarboxylic acids,
29170000,Polycarboxylic acids,
29180000,Carboxylic acids with additional oxygen,
29190000,Phosphoric esters and salts,
29200000,Esters of other inorganic acids,
29210000,Amine-function compounds,
29220000,Amino-compounds with oxygen function,
29230000,Quaternary ammonium salts/hydroxides,
29240000,Carboxyamide-function compounds,
29250000,Carboxyimide-function compounds,
29260000,Nitrile-function compounds,
29270000,"Diazo-, azo- or azoxy-compounds",
29280000,Organic derivatives of hydrazine,
29290000,Compounds with other nitrogen function,
29300000,Organo-sulphur compounds,
29310000,Other organo-inorganic compounds,
29320000,Heterocyclic compounds (oxygen),
29330000,Heterocyclic compounds (nitrogen),
29340000,Nucleic acids and salts,
29350000,Sulphonamides,
29360000,Provitamins and vitamins,
29370000,Hormones and related compounds,
29380000,Glycosides (natural/synthetic),
29390000,Alkaloids (natural/synthetic),
29400000,"Sugars, chemically pure",
29410000,Antibiotics,
29420000,Other organic compounds,
30010000,Glands and organs for organo-therapeutic use,0
30020000,Human blood; animal blood; vaccines,5
30030000,Medicaments (not in dosage form),12
30040000,Medicaments in measured doses (retail),12
30041000,Medicaments containing penicillins,12
30042000,Medicaments containing antibiotics,12
30043100,Medicaments containing insulin,12
30043200,Medicaments containing corticosteroid hormones,12
30043900,Other medicaments containing hormones,12
30044100,Medicaments containing ephedrine,12
30044900,Other medicaments,12
30045000,Medicaments containing vitamins,12
30046000,Medicaments for dental use,12
30049000,Other medicaments,12
30050000,"Wadding, gauze, bandages",12
30060000,Pharmaceutical goods (blood grouping etc.),12
31010000,Animal/vegetable fertilizers,
31020000,"Mineral/chemical fertilizers, nitrogenous",
31030000,"Mineral/chemical fertilizers, phosphatic",
31040000,"Mineral/chemical fertilizers, potassic",
31050000,Mineral/chemical fertilizers NEC,
32010000,Tanning extracts of vegetable origin,
32020000,Synthetic organic tanning substances,
32030000,Colouring matter of vegetable/animal origin,
32040000,Synthetic organic colouring matter,
32050000,Colour lakes; preparations based thereon,
32060000,Other colouring matter; luminophores,
32070000,"Prepared pigments, opacifiers, colours for ceramics",
32080000,Paints and varnishes in non-aqueous medium,
32090000,Paints and varnishes in aqueous medium,
32100000,Other paints and varnishes,
32110000,Prepared driers,
32120000,Pigments (incl. metallic powder) in media,
32130000,"Artists'/students' colours, paints",
32140000,Glaziers' putty; grafting putty; caulking,
32150000,"Printing ink, writing/drawing ink",
33010000,Essential oils (incl. concretes and absolutes),18
33020000,Mixtures of odoriferous substances,18
33030000,Perfumes and toilet waters,28
33040000,Beauty/skin-care preparations,28
33041000,Lip make-up preparations,28
33042000,Eye make-up preparations,28
33043000,Manicure or pedicure preparations,28
33049100,Powders for face/skin,28
33049900,Other beauty/make-up preparations,28
33050000,Preparations for hair,28
33051000,Shampoos,28
33052000,Preparations for permanent waving/straightening,28
33053000,Hair lacquers,28
33059000,Other hair preparations,28
33060000,Oral/dental hygiene preparations,28
33061000,Dentifrices (toothpaste),28
33069000,Other oral/dental hygiene preparations,12
33070000,"Pre-shave, shaving/after-shave preparations",28
33071000,Pre-shave and shaving preparations,28
33072000,Personal deodorants and antiperspirants,28
33073000,Perfumed bath salts and other bath preparations,28
33074100,Agarbatti and other odoriferous preparations,12
33074900,Other preparations for perfuming rooms,28
33079000,Other toiletry preparations,28
33080000,Agarbatti and other odoriferous preparations,
34010000,"Soap, organic surface-active products",18
34011100,Soap for toilet use (incl. medicated),18
34011900,"Other soaps, surface-active products",18
34012000,Soap in other forms,18
34013000,Organic surface-active products for skin care,18
34020000,Organic surface-active agents; preparations,18
34021100,Anionic organic surface-active agents,18
34021200,Cationic organic surface-active agents,18
34021300,Non-ionic organic surface-active agents,18
34021900,Other organic surface-active agents,18
34022000,Preparations put up for retail sale (detergents),18
34029000,Other washing/cleaning preparations,18
34030000,Lubricating preparations,
34040000,Artificial waxes; prepared waxes,
34050000,"Polishes/creams for footwear, furniture",
34060000,"Candles, tapers and similar",
34070000,Modelling pastes; dental waxes,
35010000,"Casein, caseinates and other casein derivatives",
35020000,"Albumins, albuminates and other albumin derivatives",
35030000,Gelatin and gelatin derivatives,
35040000,Peptones and their derivatives; other protein substances,
35050000,Dextrins and other modified starches; glues,
35060000,Prepared glues and other prepared adhesives,
35070000,Enzymes; prepared enzymes NEC,
36010000,Propellent powders,
36020000,Prepared explosives (other than propellent powder),
36030000,Safety fuses; detonating fuses; caps,
36040000,"Fireworks, signalling flares, fog signals",
36050000,Matches,
36060000,Ferro-cerium and pyrophoric alloys,
37010000,Photographic plates and film (flat),
37020000,Photographic film in rolls (light-sensitive),
37030000,"Photographic paper, paperboard and textiles",
37040000,"Photographic plates, developed (no pictures)",
37050000,"Photographic plates/film (developed, with pictures)",
37060000,"Motion-picture film, exposed/developed",
37070000,Chemical preparations for photographic use,
38010000,Artificial graphite; colloidal/semi-colloidal graphite,
38020000,Activated carbon; activated natural mineral products,
38030000,"Tall oil, crude or refined",
38040000,Residual lyes from wood pulp manufacture,
38050000,"Gum, wood or sulphate turpentine",
38060000,Rosin and resin acids,
38070000,Wood tar; wood tar oils; vegetable pitch,
38080000,"Insecticides, rodenticides, fungicides, herbicides",
38090000,"Finishing agents, dye carriers used in textile",
38100000,Pickling preparations for metal surfaces,
38110000,"Anti-knock preparations, antioxidants (for petroleum)",
38120000,Prepared rubber accelerators; plasticisers,
38130000,Preparations and charges for fire-extinguishers,
38140000,Organic composite solvents and thinners,
38150000,"Reaction initiators, accelerators, catalysts",
38160000,"Refractory cements, mortars, concretes",
38170000,Mixed alkylbenzenes,
38180000,Chemical elements for electronics (doped silicon etc.),
38190000,Hydraulic brake fluids and anti-freeze,
38200000,Anti-freeze preparations and de-icing fluids,
38210000,Prepared culture media for micro-organisms,
38220000,Diagnostic/laboratory reagents,
38230000,Industrial monocarboxylic fatty acids,
38240000,Prepared binders for foundry moulds,
38250000,Residual products of chemical industry,
39010000,"Polymers of ethylene, in primary forms",18
39020000,"Polymers of propylene, in primary forms",18
39030000,"Polymers of styrene, in primary forms",18
39040000,Polymers of vinyl chloride (PVC),18
39050000,Polymers of vinyl acetate,18
39060000,Acrylic polymers in primary forms,18
39070000,"Polyacetals, other polyethers, epoxide resins",18
39080000,Polyamides in primary forms,18
39090000,Amino-resins; phenolic resins; polyurethanes,18
39100000,Silicones in primary forms,18
39110000,"Petroleum resins, coumarone-indene resins",
39120000,Cellulose and its chemical derivatives,
39130000,Natural polymers (modified) — alginic acid etc.,
39140000,Ion-exchangers based on polymers,
39150000,"Waste, parings and scrap of plastics",
39160000,"Monofilament >1mm, rods/sticks of plastics",
39170000,"Tubes, pipes and hoses of plastics",
39180000,Floor/wall/ceiling coverings of plastics,
39190000,Self-adhesive plates/sheets of plastics,
39200000,Other plates/sheets/film/foil of plastics,
39210000,Other plates/sheets/film/foil (cellular),
39220000,"Baths, showers, sinks, basins of plastics",
39230000,Articles for conveyance/packing of goods,
39240000,"Tableware, kitchenware, household articles",
39250000,Builders' ware of plastics NEC,
39260000,Other articles of plastics,
40010000,"Natural rubber, balata, gutta-percha",
40020000,Synthetic rubber and factice from oils,
40030000,Reclaimed rubber in primary forms,
40040000,"Waste, parings, scrap of rubber",
40050000,"Compounded rubber, unvulcanised",
40060000,Other forms of unvulcanised rubber,
40070000,Vulcanised rubber thread and cord,
40080000,"Plates, sheets, strip of vulcanised rubber",
40090000,"Tubes, pipes of vulcanised rubber",
40100000,Conveyor belts of vulcanised rubber,
40110000,"New pneumatic tyres, rubber",
40120000,Retreaded or used pneumatic tyres,
40130000,"Inner tubes, of rubber",
40140000,Hygienic or pharmaceutical articles of vulcanised rubber,
40150000,"Gloves, mittens and mitts of vulcanised rubber",
40160000,Other articles of vulcanised rubber (soft),
40170000,Hard rubber (ebonite) in all forms,
41010000,Raw hides/skins of bovine/equine animals,
41020000,Raw skins of sheep or lambs,
41030000,Other raw hides and skins,
41040000,Tanned/crust hides and skins of bovine,
41050000,Tanned/crust skins of sheep/lambs,
41060000,Tanned/crust hides of other animals,
41070000,Leather further prepared after tanning (bovine),
41080000,Chamois leather,
41090000,Patent leather; patent laminated leather,
41100000,Composition leather,
41110000,Parings and other waste of leather,
42010000,Saddlery and harness for animals,
42020000,"Trunks, suitcases, handbags, wallets",
42030000,Articles of apparel and clothing accessories of leather,
42040000,Articles of leather for machinery/mechanical use,
42050000,Other articles of leather or composition leather,
42060000,"Articles of gut, goldbeater's skin, bladders",
43010000,Raw furskins,
43020000,Tanned or dressed furskins,
43030000,Articles of apparel/accessories of furskin,
43040000,Artificial fur and articles thereof,
44010000,Fuel wood; wood in chips; sawdust,
44020000,Wood charcoal,
44030000,Wood in the rough (logs),
44040000,Hoopwood; split poles; wooden stakes,
44050000,Wood wool; wood flour,
44060000,Railway/tramway sleepers (ties) of wood,
44070000,"Wood sawn or chipped lengthwise, sliced",
44080000,"Sheets for veneering, for plywood",
44090000,Wood (incl. strips/friezes) continuously shaped,
44100000,"Particle board, waferboard of wood",
44110000,Fibreboard of wood or other ligneous materials,
44120000,"Plywood, veneered panels, similar laminated wood",
44130000,"Densified wood in blocks, plates, strips",
44140000,"Wooden frames for paintings, photographs etc.",
44150000,"Packing cases, boxes, crates, drums of wood",
44160000,"Casks, barrels, vats, tubs of wood",
44170000,"Tools, tool bodies, tool handles of wood",
44180000,Builders' joinery and carpentry of wood,
44190000,Tableware and kitchenware of wood,
44200000,Wood marquetry; caskets; statuettes of wood,
44210000,Other articles of wood,
48010000,Newsprint in rolls or sheets,12
48020000,Uncoated paper for writing/printing,12
48030000,"Toilet paper, facial tissue paper",12
48040000,Uncoated kraft paper and paperboard,12
48050000,Other uncoated paper and paperboard,12
48060000,Vegetable parchment; greaseproof papers,
48070000,Composite paper and paperboard,
48080000,"Paper and paperboard, corrugated/creped/embossed",
48090000,"Carbon paper, self-copy paper",
48100000,Coated paper/paperboard for writing/printing,
48110000,"Paper/paperboard, surface-decorated",
48120000,Filter blocks/slabs/plates of paper pulp,
48130000,Cigarette paper,
48140000,Wallpaper and similar wall coverings,
48150000,Floor coverings on a base of paper,
48160000,"Carbon paper, self-copy paper (not ch.49)",
48170000,Envelopes; letter cards; postcards (blank),
48180000,"Toilet paper rolls, handkerchiefs of paper",
48190000,"Cartons, boxes, cases of paper",
48200000,"Registers, account books, notebooks",
48210000,Paper/paperboard labels (all kinds),
48220000,"Bobbins, spools, cops of paper",
48230000,"Other paper, paperboard, articles of paper pulp",
49010000,"Printed books, brochures, leaflets",
49020000,"Newspapers, journals, periodicals",
49030000,Children's picture books; drawing/colouring books,
49040000,"Music, printed or in manuscript",
49050000,Maps and hydrographic charts,
49060000,Plans and drawings for architectural/industrial use,
49070000,Unused postage/revenue stamps; cheque forms,
49080000,Transfers (decalcomanias),
49090000,Printed or illustrated postcards,
49100000,Printed calendars,
49110000,Other printed matter (trade catalogues etc.),
50010000,Silkworm cocoons suitable for reeling,
50020000,Raw silk (not thrown),
50030000,Silk waste,
50040000,Silk yarn (other than from waste),
50050000,Yarn spun from silk waste,
50060000,Silk yarn and yarn spun from silk waste (retail),
50070000,Woven fabrics of silk or silk waste,
51010000,"Wool, not carded or combed",
51020000,"Fine/coarse animal hair, not carded/combed",
51050000,"Wool/animal hair, carded or combed",
51060000,"Yarn of carded wool, not put up for retail",
51070000,"Yarn of combed wool, not put up for retail",
51080000,Yarn of fine animal hair,
51090000,"Yarn of wool or fine animal hair, for retail",
51110000,Woven fabrics of carded wool,
51120000,Woven fabrics of combed wool,
52010000,"Cotton, not carded or combed",
52020000,Cotton waste,
52030000,"Cotton, carded or combed",
52040000,Cotton sewing thread,
52050000,Cotton yarn (other than sewing thread),
52060000,"Cotton yarn (other, for retail)",
52070000,Cotton yarn put up for retail sale,
52080000,Woven fabrics of cotton (<=200g/m²),
52090000,Woven fabrics of cotton (>200g/m²),
52100000,"Woven fabrics of cotton (<85%, mixed w/ man-made fibres)",
52110000,"Woven fabrics of cotton (>200g, mixed w/ man-made)",
52120000,Other woven fabrics of cotton,
53010000,"Flax, raw or processed but not spun",
53020000,"True hemp, raw or processed but not spun",
53050000,"Coconut, abaca, ramie, other vegetable fibres",
53060000,Flax yarn,
53070000,Yarn of jute or other textile bast fibres,
53080000,Yarn of other vegetable textile fibres; paper yarn,
53090000,Woven fabrics of flax,
53100000,Woven fabrics of jute or other textile bast fibres,
53110000,Woven fabrics of other vegetable textile fibres,
