hsn_code,description
2513,Pumice stone; emery; abrasives
2514,Slate
2515,"Marble, travertine, ecaussine"
2516,"Granite, porphyry, basalt, sandstone"
2517,"Pebbles, gravel, broken stone"
2518,Dolomite
2519,Natural magnesium carbonate (magnesite)
2520,Gypsum; anhydrite; plasters
2521,Limestone flux; limestone for cement
2522,"Quicklime, slaked lime, hydraulic lime"
2523,"Portland cement, aluminous cement"
2524,Asbestos
2525,"Mica, including mica waste"
2526,Natural steatite (talc)
2528,Natural borates and concentrates
2529,Feldspar; leucite; nepheline
2530,Mineral substances NEC
2601,Iron ores and concentrates
2602,Manganese ores and concentrates
2603,Copper ores and concentrates
2604,Nickel ores and concentrates
2605,Cobalt ores and concentrates
2606,Aluminium ores and concentrates
2607,Lead ores and concentrates
2608,Zinc ores and concentrates
2609,Tin ores and concentrates
2610,Chromium ores and concentrates
2611,Tungsten ores and concentrates
2613,Molybdenum ores and concentrates
2614,Titanium ores and concentrates
2615,"Niobium, tantalum, vanadium ores"
2616,Precious metal ores and concentrates
2617,Other ores and concentrates
2618,Granulated slag from iron/steel
2619,Slag from iron/steel manufacture
2620,"Slag, ash and residues (metals)"
2621,Other slag and ash
2701,"Coal; briquettes, ovoids of coal"
2702,Lignite (brown coal)
2703,Peat (including peat litter)
2704,Coke and semi-coke of coal
2705,"Coal gas, water gas, producer gas"
2706,Tar distilled from coal/lignite
2707,Oils and other products of coal tar
2708,Pitch and pitch coke from coal tar
2709,"Petroleum oils, crude"
2710,"Petroleum oils, not crude"
2710 12,Motor spirit (petrol)
2710 19,Other petroleum oils
2711,Petroleum gases
2711 12 00,LPG for commercial use
2712,Petroleum jelly; paraffin wax
2713,Petroleum coke
2714,Bitumen and asphalt
2715,Bituminous mixtures
2716,Electrical energy
2801,"Fluorine, chlorine, bromine, iodine"
2802,"Sulphur, sublimed/precipitated"
2803,Carbon (carbon blacks etc.)
2804,"Hydrogen, rare gases, other non-metals"
2805,Alkali/alkaline-earth metals
2806,Hydrogen chloride; chlorosulphuric acid
2807,Sulphuric acid; oleum
2808,Nitric acid; sulphonitric acids
2809,Diphosphorus pentaoxide; phosphoric acid
2810,Oxides of boron; boric acids
2811,Other inorganic acids
2812,Halides and halide oxides of non-metals
2813,Sulphides of non-metals
2814,"Ammonia, anhydrous/in aqueous solution"
2815,Sodium hydroxide (caustic soda)
2816,Hydroxide/peroxide of magnesium
2817,Zinc oxide; zinc peroxide
2818,Artificial corundum; aluminium oxide
2819,Chromium oxides and hydroxides
2820,Manganese oxides
2821,Iron oxides and hydroxides
2822,Cobalt oxides and hydroxides
2823,Titanium oxides
2824,Lead oxides; red lead and orange lead
2825,Hydrazine; hydroxylamine; inorganic bases
2826,Fluorides; fluorosilicates
2827,Chlorides; chloride oxides
2828,Hypochlorites; chlorates
2829,Chlorates and perchlorates
2830,Sulphides; polysulphides
2831,Dithionites and sulphoxylates
2832,Sulphites; thiosulphates
2833,Sulphates; alums; peroxosulphates
2834,Nitrites; nitrates
2835,Phosphinates; phosphonates; phosphates
2836,Carbonates; peroxocarbonates; ammonium carbamate
2837,Cyanides; cyanide oxides; complex cyanides
2839,Silicates; commercial alkali metal silicates
2840,Borates; peroxoborates
2841,Salts of oxometallic/peroxometallic acids
2842,Other salts of inorganic acids
2843,Colloidal precious metals
2844,Radioactive chemical elements
2845,Isotopes and compounds
2846,Inorganic/organic compounds of rare-earth metals
2847,Hydrogen peroxide
2849,Carbides
2850,"Hydrides, nitrides, azides etc."
2851,Other inorganic compounds
2901,Acyclic hydrocarbons
2902,Cyclic hydrocarbons
2903,Halogenated derivatives of hydrocarbons
2904,Sulphonated/nitrated/nitrosated hydrocarbons
2905,"Acyclic alcohols (methanol, ethanol etc.)"
2906,Cyclic alcohols
2907,Phenols; phenol-alcohols
2908,Halogenated derivatives of phenols
2909,"Ethers, ether-alcohols, ether-phenols"
2910,"Epoxides, epoxyalcohols, epoxyphenols"
2911,Acetals and hemiacetals
2912,Aldehydes
2913,Halogenated derivatives of aldehydes
2914,Ketones and quinones
2915,Saturated acyclic monocarboxylic acids
2916,Unsaturated acyclic monocarboxylic acids
2917,Polycarboxylic acids
2918,Carboxylic acids with additional oxygen
2919,Phosphoric esters and salts
2920,Esters of other inorganic acids
2921,Amine-function compounds
2922,Amino-compounds with oxygen function
2923,Quaternary ammonium salts/hydroxides
2924,Carboxyamide-function compounds
2925,Carboxyimide-function compounds
2926,Nitrile-function compounds
2927,"Diazo-, azo- or azoxy-compounds"
2928,Organic derivatives of hydrazine
2929,Compounds with other nitrogen function
2930,Organo-sulphur compounds
2931,Other organo-inorganic compounds
2932,Heterocyclic compounds (oxygen)
2933,Heterocyclic compounds (nitrogen)
2934,Nucleic acids and salts
2935,Sulphonamides
2936,Provitamins and vitamins
2937,Hormones and related compounds
2938,Glycosides (natural/synthetic)
2939,Alkaloids (natural/synthetic)
2940,"Sugars, chemically pure"
2941,Antibiotics
2942,Other organic compounds
3001,Glands and organs for organo-therapeutic use
3002,Human blood; animal blood; vaccines
3003,Medicaments (not in dosage form)
3004,Medicaments in measured doses (retail)
3005,"Wadding, gauze, bandages"
3006,Pharmaceutical goods (blood grouping etc.)
3101,Animal/vegetable fertilizers
3102,"Mineral/chemical fertilizers, nitrogenous"
3103,"Mineral/chemical fertilizers, phosphatic"
3104,"Mineral/chemical fertilizers, potassic"
3105,Mineral/chemical fertilizers NEC
3201,Tanning extracts of vegetable origin
3202,Synthetic organic tanning substances
3203,Colouring matter of vegetable/animal origin
3204,Synthetic organic colouring matter
3205,Colour lakes; preparations based thereon
3206,Other colouring matter; luminophores
3207,"Prepared pigments, opacifiers, colours for ceramics"
3208,Paints and varnishes in non-aqueous medium
3209,Paints and varnishes in aqueous medium
3210,Other paints and varnishes
3211,Prepared driers
3212,Pigments (incl. metallic powder) in media
3213,"Artists'/students' colours, paints"
3214,Glaziers' putty; grafting putty; caulking
3215,"Printing ink, writing/drawing ink"
3301,Essential oils (incl. concretes and absolutes)
3302,Mixtures of odoriferous substances
3303,Perfumes and toilet waters
3304,Beauty/skin-care preparations
3305,Preparations for hair
3306,Oral/dental hygiene preparations
3307,"Pre-shave, shaving/after-shave preparations"
3307 10,Pre-shave and shaving preparations
3308,Agarbatti and other odoriferous preparations
3401,"Soap, organic surface-active products"
3402,Organic surface-active agents; preparations
3403,Lubricating preparations
3404,Artificial waxes; prepared waxes
3405,"Polishes/creams for footwear, furniture"
3406,"Candles, tapers and similar"
3407,Modelling pastes; dental waxes
3501,"Casein, caseinates and other casein derivatives"
3502,"Albumins, albuminates and other albumin derivatives"
3503,Gelatin and gelatin derivatives
3504,Peptones and their derivatives; other protein substances
3505,Dextrins and other modified starches; glues
3506,Prepared glues and other prepared adhesives
3507,Enzymes; prepared enzymes NEC
3601,Propellent powders
3602,Prepared explosives (other than propellent powder)
3603,Safety fuses; detonating fuses; caps
3604,"Fireworks, signalling flares, fog signals"
3605,Matches
3606,Ferro-cerium and pyrophoric alloys
3701,Photographic plates and film (flat)
3702,Photographic film in rolls (light-sensitive)
3703,"Photographic paper, paperboard and textiles"
3704,"Photographic plates, developed (no pictures)"
3705,"Photographic plates/film (developed, with pictures)"
3706,"Motion-picture film, exposed/developed"
3707,Chemical preparations for photographic use
3801,Artificial graphite; colloidal/semi-colloidal graphite
3802,Activated carbon; activated natural mineral products
3803,"Tall oil, crude or refined"
3804,Residual lyes from wood pulp manufacture
3805,"Gum, wood or sulphate turpentine"
3806,Rosin and resin acids
3807,Wood tar; wood tar oils; vegetable pitch
3808,"Insecticides, rodenticides, fungicides, herbicides"
3809,"Finishing agents, dye carriers used in textile"
3810,Pickling preparations for metal surfaces
3811,"Anti-knock preparations, antioxidants (for petroleum)"
3812,Prepared rubber accelerators; plasticisers
3813,Preparations and charges for fire-extinguishers
3814,Organic composite solvents and thinners
3815,"Reaction initiators, accelerators, catalysts"
3816,"Refractory cements, mortars, concretes"
3817,Mixed alkylbenzenes
3818,Chemical elements for electronics (doped silicon etc.)
3819,Hydraulic brake fluids and anti-freeze
3820,Anti-freeze preparations and de-icing fluids
3821,Prepared culture media for micro-organisms
3822,Diagnostic/laboratory reagents
3823,Industrial monocarboxylic fatty acids
3824,Prepared binders for foundry moulds
3825,Residual products of chemical industry
3901,"Polymers of ethylene, in primary forms"
3902,"Polymers of propylene, in primary forms"
3903,"Polymers of styrene, in primary forms"
3904,Polymers of vinyl chloride (PVC)
3905,Polymers of vinyl acetate
3906,Acrylic polymers in primary forms
3907,"Polyacetals, other polyethers, epoxide resins"
3908,Polyamides in primary forms
3909,Amino-resins; phenolic resins; polyurethanes
3910,Silicones in primary forms
3911,"Petroleum resins, coumarone-indene resins"
3912,Cellulose and its chemical derivatives
3913,Natural polymers (modified) — alginic acid etc.
3914,Ion-exchangers based on polymers
3915,"Waste, parings and scrap of plastics"
3916,"Monofilament >1mm, rods/sticks of plastics"
3917,"Tubes, pipes and hoses of plastics"
3918,Floor/wall/ceiling coverings of plastics
3919,Self-adhesive plates/sheets of plastics
3920,Other plates/sheets/film/foil of plastics
3921,Other plates/sheets/film/foil (cellular)
3922,"Baths, showers, sinks, basins of plastics"
3923,Articles for conveyance/packing of goods
3924,"Tableware, kitchenware, household articles"
3925,Builders' ware of plastics NEC
3926,Other articles of plastics
4001,"Natural rubber, balata, gutta-percha"
4002,Synthetic rubber and factice from oils
4003,Reclaimed rubber in primary forms
4004,"Waste, parings, scrap of rubber"
4005,"Compounded rubber, unvulcanised"
4006,Other forms of unvulcanised rubber
4007,Vulcanised rubber thread and cord
4008,"Plates, sheets, strip of vulcanised rubber"
4009,"Tubes, pipes of vulcanised rubber"
4010,Conveyor belts of vulcanised rubber
4011,"New pneumatic tyres, rubber"
4012,Retreaded or used pneumatic tyres
4013,"Inner tubes, of rubber"
4014,Hygienic or pharmaceutical articles of vulcanised rubber
4015,"Gloves, mittens and mitts of vulcanised rubber"
4016,Other articles of vulcanised rubber (soft)
4017,Hard rubber (ebonite) in all forms
4101,Raw hides/skins of bovine/equine animals
4102,Raw skins of sheep or lambs
4103,Other raw hides and skins
4104,Tanned/crust hides and skins of bovine
4105,Tanned/crust skins of sheep/lambs
4106,Tanned/crust hides of other animals
4107,Leather further prepared after tanning (bovine)
4108,Chamois leather
4109,Patent leather; patent laminated leather
4110,Composition leather
4111,Parings and other waste of leather
4201,Saddlery and harness for animals
4202,"Trunks, suitcases, handbags, wallets"
4203,Articles of apparel and clothing accessories of leather
4204,Articles of leather for machinery/mechanical use
4205,Other articles of leather or composition leather
4206,"Articles of gut, goldbeater's skin, bladders"
4301,Raw furskins
4302,Tanned or dressed furskins
4303,Articles of apparel/accessories of furskin
4304,Artificial fur and articles thereof
4401,Fuel wood; wood in chips; sawdust
4402,Wood charcoal
4403,Wood in the rough (logs)
4404,Hoopwood; split poles; wooden stakes
4405,Wood wool; wood flour
4406,Railway/tramway sleepers (ties) of wood
4407,"Wood sawn or chipped lengthwise, sliced"
4408,"Sheets for veneering, for plywood"
4409,Wood (incl. strips/friezes) continuously shaped
4410,"Particle board, waferboard of wood"
4411,Fibreboard of wood or other ligneous materials
4412,"Plywood, veneered panels, similar laminated wood"
4413,"Densified wood in blocks, plates, strips"
4414,"Wooden frames for paintings, photographs etc."
4415,"Packing cases, boxes, crates, drums of wood"
4416,"Casks, barrels, vats, tubs of wood"
4417,"Tools, tool bodies, tool handles of wood"
4418,Builders' joinery and carpentry of wood
4419,Tableware and kitchenware of wood
4420,Wood marquetry; caskets; statuettes of wood
4421,Other articles of wood
4801,Newsprint in rolls or sheets
4802,Uncoated paper for writing/printing
4803,"Toilet paper, facial tissue paper"
4804,Uncoated kraft paper and paperboard
4805,Other uncoated paper and paperboard
4806,Vegetable parchment; greaseproof papers
4807,Composite paper and paperboard
4808,"Paper and paperboard, corrugated/creped/embossed"
4809,"Carbon paper, self-copy paper"
4810,Coated paper/paperboard for writing/printing
4811,"Paper/paperboard, surface-decorated"
4812,Filter blocks/slabs/plates of paper pulp
4813,Cigarette paper
4814,Wallpaper and similar wall coverings
4815,Floor coverings on a base of paper
4816,"Carbon paper, self-copy paper (not ch.49)"
4817,Envelopes; letter cards; postcards (blank)
4818,"Toilet paper rolls, handkerchiefs of paper"
4819,"Cartons, boxes, cases of paper"
4820,"Registers, account books, notebooks"
4821,Paper/paperboard labels (all kinds)
4822,"Bobbins, spools, cops of paper"
4823,"Other paper, paperboard, articles of paper pulp"
4901,"Printed books, brochures, leaflets"
4902,"Newspapers, journals, periodicals"
4903,Children's picture books; drawing/colouring books
4904,"Music, printed or in manuscript"
4905,Maps and hydrographic charts
4906,Plans and drawings for architectural/industrial use
4907,Unused postage/revenue stamps; cheque forms
4908,Transfers (decalcomanias)
4909,Printed or illustrated postcards
4910,Printed calendars
4911,Other printed matter (trade catalogues etc.)
5001,Silkworm cocoons suitable for reeling
5002,Raw silk (not thrown)
5003,Silk waste
5004,Silk yarn (other than from waste)
5005,Yarn spun from silk waste
5006,Silk yarn and yarn spun from silk waste (retail)
5007,Woven fabrics of silk or silk waste
5101,"Wool, not carded or combed"
5102,"Fine/coarse animal hair, not carded/combed"
5105,"Wool/animal hair, carded or combed"
5106,"Yarn of carded wool, not put up for retail"
5107,"Yarn of combed wool, not put up for retail"
5108,Yarn of fine animal hair
5109,"Yarn of wool or fine animal hair, for retail"
5111,Woven fabrics of carded wool
5112,Woven fabrics of combed wool
5201,"Cotton, not carded or combed"
5202,Cotton waste
5203,"Cotton, carded or combed"
5204,Cotton sewing thread
5205,Cotton yarn (other than sewing thread)
5206,"Cotton yarn (other, for retail)"
5207,Cotton yarn put up for retail sale
5208,Woven fabrics of cotton (<=200g/m²)
5209,Woven fabrics of cotton (>200g/m²)
5210,"Woven fabrics of cotton (<85%, mixed w/ man-made fibres)"
5211,"Woven fabrics of cotton (>200g, mixed w/ man-made)"
5212,Other woven fabrics of cotton
5301,"Flax, raw or processed but not spun"
5302,"True hemp, raw or processed but not spun"
5305,"Coconut, abaca, ramie, other vegetable fibres"
5306,Flax yarn
5307,Yarn of jute or other textile bast fibres
5308,Yarn of other vegetable textile fibres; paper yarn
5309,Woven fabrics of flax
5310,Woven fabrics of jute or other textile bast fibres
5311,Woven fabrics of other vegetable textile fibres
5401,Sewing thread of man-made filaments
5402,Synthetic filament yarn
5403,Artificial filament yarn (other than sewing thread)
5404,Synthetic monofilament >= 67 decitex
5405,Artificial monofilament >= 67 decitex
5406,Man-made filament yarn (retail)
5407,Woven fabrics of synthetic filament yarn
5408,Woven fabrics of artificial filament yarn
5501,Synthetic filament tow
5502,Artificial filament tow
5503,"Synthetic staple fibres, not carded/combed"
5504,"Artificial staple fibres, not carded/combed"
5505,"Waste (incl. noils, yarn waste) of man-made fibres"
5506,"Synthetic staple fibres, carded/combed"
5507,"Artificial staple fibres, carded/combed"
5508,Sewing thread of man-made staple fibres
5509,Yarn of synthetic staple fibres (other than sewing)
5510,Yarn of artificial staple fibres
5511,"Yarn of man-made staple fibres, for retail"
5512,Woven fabrics of synthetic staple fibres >=85%
5513,Woven fabrics of synthetic staple fibres <85%
5514,Woven fabrics of synthetic staple fibres (>200g)
5515,Other woven fabrics of synthetic staple fibres
5516,Woven fabrics of artificial staple fibres
5601,Wadding of textile materials; textile fibres
5602,"Felt, not impregnated/coated/covered"
5603,Nonwovens
5604,"Rubber thread and cord, textile covered"
5605,Metallised yarn
5606,Gimped yarn; chenille yarn; loop wale-yarn
5607,"Twine, cordage, ropes and cables"
5608,Knotted netting; made-up fishing nets
5609,"Articles of yarn, strip, twine, rope etc."
5701,Carpets and other floor coverings of wool (knotted)
5702,"Carpets/floor coverings of textile materials, woven"
5703,"Carpets/floor coverings of textile, tufted"
5704,Carpets/floor coverings of felt
5705,Other carpets and floor coverings of textile
5801,"Woven pile fabrics (velvet, corduroy etc.)"
5802,Terry towelling; tufted textile fabrics
5803,Gauze (other than narrow fabrics)
5804,Tulles and other net fabrics; lace
5805,Hand-woven tapestries (Gobelin etc.)
5806,Narrow woven fabrics
5807,"Labels, badges and similar of textile"
5808,Braids; ornamental trimmings
5809,Woven fabrics of metal thread
5810,"Embroidery in the piece, strips or motifs"
5811,Quilted textile products in the piece
5901,Textile fabrics coated with gum (book-binding cloth)
5902,Tyre cord fabric of high tenacity yarn
5903,Textile fabrics impregnated/coated with plastics
5904,Linoleum; floor coverings with textile backing
5905,Textile wall coverings
5906,Rubberised textile fabrics
5907,Textile fabrics otherwise impregnated
5908,"Textile wicks for lamps, stoves, lighters etc."
5909,Textile hose piping and similar textile tubing
5910,Transmission/conveyor belts of textile material
5911,Textile products for technical uses
6001,"Pile fabrics (incl. long pile, terry), knitted"
6002,Knitted/crocheted fabrics (width <= 30cm)
6003,"Knitted/crocheted fabrics (width <= 30cm, other)"
6004,"Knitted/crocheted fabrics (width > 30cm, >=5% elastomeric)"
6005,Warp knit fabrics (incl. made on galloon machines)
6006,Other knitted or crocheted fabrics
6101,"Men's overcoats, car-coats, cloaks (knitted)"
6102,"Women's overcoats, car-coats, cloaks (knitted)"
6103,"Men's suits, ensembles, jackets (knitted)"
6104,"Women's suits, ensembles, jackets (knitted)"
6105,Men's shirts (knitted/crocheted)
6106,"Women's blouses, shirts (knitted)"
6107,"Men's underpants, briefs, nightwear (knitted)"
6108,"Women's slips, underpants, nightwear (knitted)"
6109,"T-shirts, singlets and other vests (knitted)"
6110,"Jerseys, pullovers, sweatshirts, waistcoats (knitted)"
6111,Babies' garments and clothing accessories (knitted)
6112,"Track suits, ski suits, swimwear (knitted)"
6113,Garments of impregnated/coated knitted fabric
6114,Other garments (knitted)
6115,"Panty hose, tights, stockings (knitted)"
6116,"Gloves, mittens, mitts (knitted)"
6117,Other made-up clothing accessories (knitted)
6201,"Men's overcoats, car-coats (not knitted)"
6202,Women's overcoats (not knitted)
6203,"Men's suits, ensembles, jackets (not knitted)"
6204,"Women's suits, ensembles, jackets (not knitted)"
6205,Men's shirts (not knitted)
6206,Women's blouses (not knitted)
6207,"Men's singlets, briefs, nightwear (not knitted)"
6208,"Women's singlets, slips, nightwear (not knitted)"
6209,Babies' garments (not knitted)
6210,Garments of impregnated/coated fabrics
6211,"Track suits, ski suits, swimwear (not knitted)"
6212,"Brassieres, girdles, corsets, braces (not knitted)"
6213,Handkerchiefs
6214,"Shawls, scarves, mufflers, mantillas"
6215,"Ties, bow ties, cravats"
6216,"Gloves, mittens and mitts"
6217,Other made-up clothing accessories (not knitted)
6301,Blankets and travelling rugs
6302,"Bed linen, table linen, toilet linen"
6303,"Curtains, drapes, interior blinds"
6304,Other furnishing articles (not mattress)
6305,Sacks and bags for packing of goods
6306,"Tarpaulins, awnings, sunblinds; tents; sails"
6307,Other made-up articles (incl. dress patterns)
6308,Sets of woven fabric and yarn for making rugs
6309,Worn clothing and other worn articles
6310,"Used/new rags, scrap twine, worn-out cordage"
6401,Waterproof footwear with outer sole of rubber/plastics
6402,Footwear with outer sole/upper of rubber <=Rs.500
6403,Footwear with outer soles of rubber; uppers of leather
6404,Footwear with outer soles of rubber; uppers of textile
6405,Other footwear
6406,"Parts of footwear; insoles, heel cushions"
6501,"Hat-forms, hat bodies, hoods of felt"
6502,"Hat shapes, plaited or made from strips"
6504,"Hats and other headgear, plaited or assembled"
6505,"Hats and other headgear, knitted or made from lace"
6506,"Other headgear (safety helmets, hard hats etc.)"
6507,"Head-bands, linings, covers, hat foundations"
6801,"Setts, curbstones and flagstones of natural stone"
6802,Worked monumental/building stone
6803,Worked slate
6804,"Millstones, grindstones, grinding wheels"
6805,Natural/artificial abrasive powder on base
6806,"Slag wool, rock wool, mineral wools"
6807,Articles of asphalt or bitumen
6808,"Panels, boards, tiles of vegetable fibre"
6809,Articles of plaster/compositions based on plaster
6810,"Articles of cement, concrete or artificial stone"
6811,Articles of asbestos-cement
6812,Fabricated asbestos fibres; mixtures with asbestos
6813,Friction material (brake pads etc.)
6814,Worked mica and articles of mica
6815,Articles of stone or other mineral substances NEC
6901,"Bricks, blocks, tiles of siliceous fossil meals"
6902,"Refractory bricks, blocks, tiles, ceramics"
6903,Other refractory ceramic goods
6904,Ceramic building bricks
6905,"Roofing tiles, chimney-pots, cowls (ceramic)"
6906,"Ceramic pipes, conduits, guttering"
6907,Unglazed ceramic flags and paving (floor tiles)
6908,Glazed ceramic flags and paving (tiles)
6909,Ceramic wares for laboratory/chemical use
